recipient,amount
8QQn2KJcnMxZ3xHJQJMiyysyWx94mdNCBwoonT3YN9jQ,60872748047362
C1mJ4tyS6GvabWk9GGqnWijnhSPzrSDtu8X3jhPZbpp,56947915445589
7G4RfctwLLgqG4ZWfCirU8dfJd87mKQWgB4EHQRv8i7v,53994433372526
Bx6R7GBNsFCt7KJUZw5yrbvdhL1EYcXPhkUBnS2t3c7E,61300124181820
8uJiHDJ1b7UDQ4KFsQGJXK9nUCkokdKRJymg1Wy9nxvM,825470290862942
CKwRED4NttAKmB4D2aos4uQqXqH1QehRoZLdRkyjLdGm,154940181729577
FjYEr2UCeFzNfAKiFrbhG34Zv8LxbmfHYAFhAfc7SLQL,34901212901413
Ar41pHwRLQfpSJLvQRrVnEfeRKxFPEuEZHioRkhQybh4,34048246191568
GtpcBib8a8AJAaryYict5s4igHCfvoCM9qVSXTK1scyx,35789789971217
32jCuWyy4aJjyv4gd4DSGBHmFU5KUSSfqbmPb9GpMin6,57242196538442
8m8v4dp3LkzBSNz2dpdGhAoGVemvkpbiCzw7JGuy26kY,17717120
EDoebfhRVj7pDdYTS8pbrFGEFaFFQXerJ7ncuAR4CXfM,53222480466380
49FDKWDRLEuZA5zYSeRgDW1oCZAjDBPqS8wZK4p99JqN,5906384306577
6p5sKuoNsipkg4TZdtHefFYWBDiMLKeLfQQjp24ztu2d,34355180253177
93Q99nhdKjuSe6WNXgMBbC3s8QVQEAoHKt91PNRkUkMn,310507164046074
9QqwhT5x9AUdpGxudT5Mrr3yEcTin1daxbs5LzU6SUVF,52701030458977
29B4Ghw6mDuD2GVB8NHobhMWmpvSp4Sz5NWDNJieuBLs,59489750800513
BEL5CeekyNyWdocqr2YXTVVvYwzeActXNGMPJhmvFVsb,59066196390065
8j5kjKAufwdJH7GitGY18Qp12EhEQkVMc4PWZzGeH8Gw,45012228623783
HypKQcad9VesDa3d2HvV6nF54dXWGf3JDJ6maBcCdsfK,60520882344729
akMRrEs7bjjWWLPD57ghDiDBE6p75vDaigdPVcGajf5,50301576817608
